freq,unit,geo\TIME_PERIOD	2020-01 	2020-02 	2020-03 	2020-04 	2020-05 	2020-06 	2020-07 	2020-08 	2020-09 	2020-10 	2020-11 	2020-12 	2021-01 	2021-02 	2021-03 	2021-04 	2021-05 	2021-06 	2021-07 	2021-08 	2021-09 	2021-10 	2021-11 	2021-12 	2022-01 	2022-02 	2022-03 	2022-04 	2022-05 	2022-06 	2022-07 	2022-08 	2022-09 	2022-10 	2022-11 	2022-12 	2023-01 	2023-02 	2023-03 	2023-04 
M,PC,IS	13.8 p	3.6 p	-0.9 p	4.7 p	7.9 p	-20.2 p	-5.0 p	-6.6 p	0.4 p	11.0 p	5.0 p	5.2 p	4.7 p	2.3 p	-4.3 p	3.2 p	3.8 p	3.0 p	10.6 p	17.7 p	-11.5 p	-13.9 p	9.5 p	19.1 p	15.9 p	23.4 p	54.4 p	13.6 p	13.7 p	10.3 p	36.2 p	11.5 p	7.9 p	-1.0 p	12.7 p	29.8 p	29.3 p	10.2 p	5.7 p	-5.5 p
M,PC,IT	-9.7 	-0.7 	49.6 	41.7 	3.9 	-0.1 	3.0 	5.1 	6.2 	15.8 	51.6 	27.4 	9.1 	5.1 	18.6 	23.2 	8.7 	7.0 	7.1 	11.4 	10.0 	5.7 	6.3 	10.5 	8.5 	7.2 	6.9 	11.3 	9.2 	7.0 	29.6 	12.7 	8.2 	6.6 	9.9 	15.1 p	-3.0 p	2.2 p	-4.2 p	: 
M,PC,LI	-24.5 	46.0 	-10.1 	-0.2 	12.2 	-17.4 	-4.3 	11.0 	29.3 	17.2 	74.4 	117.8 	24.2 	17.5 	-35.0 	34.5 	18.0 	-39.5 	23.1 	-9.4 	-5.2 	-19.1 	7.4 	22.1 	37.3 p	46.0 p	8.3 p	-9.0 p	-3.1 p	-1.8 p	29.2 p	-20.9 p	4.1 p	-27.9 p	8.1 p	-16.0 p	12.2 p	4.4 p	-2.6 p	-8.2 p
M,PC,LT	-12.4 	-11.2 	-1.2 	2.4 	-2.1 	8.2 	3.8 	6.9 	7.0 	10.1 	36.3 	70.1 	29.1 	2.3 	6.0 	10.6 	13.5 	15.4 	10.6 	12.5 	32.9 	43.6 	35.9 	29.5 p	5.5 p	7.6 p	14.6 p	8.0 p	-1.5 p	4.6 p	0.9 p	11.8 p	7.6 p	8.1 p	1.3 p	20.6 p	-1.5 p	-22.8 p	-6.7 p	-7.7 p
M,PC,LU	-8.0 	-11.1 	6.0 	18.5 	7.4 	-0.2 	-0.4 	12.0 	6.5 	5.9 	45.2 	32.9 	8.1 	-3.8 	8.9 	7.3 	1.3 	5.7 	0.4 	-1.9 	6.6 	9.4 	17.9 	20.0 	1.6 	4.7 	-1.3 	19.5 	1.9 	8.3 	10.9 	10.1 	1.0 	6.1 	2.6 	9.6 p	15.9 p	-9.3 p	-2.4 p	12.3 p
M,PC,LV	-8.3 	-9.1 	-12.6 	-2.6 	-1.0 	4.2 	-0.7 	4.4 	-0.8 	3.7 	10.9 	29.8 	30.6 	15.1 	-0.8 	6.4 	16.2 	22.0 	14.9 	9.0 	17.6 	52.4 	57.4 	19.5 p	5.9 p	11.9 p	8.9 p	2.9 p	0.6 p	6.7 p	-0.3 p	7.4 p	4.9 p	7.2 p	4.1 p	17.9 p	7.7 p	-3.6 p	-13.9 p	-3.6 p
M,PC,MT	-3.8 	-7.3 	17.0 	13.8 	3.1 	-2.7 	11.3 	24.4 	22.6 	21.4 	40.2 	41.9 	4.1 	17.7 	32.5 	0.4 	13.3 	3.6 	20.4 	39.2 	18.0 	12.2 	14.8 	19.8 p	15.7 p	19.2 p	22.8 p	30.7 p	4.2 p	17.0 p	27.7 p	9.0 p	17.6 p	22.5 p	17.2 p	11.2 p	4.3 p	1.8 p	11.3 p	7.9 p
M,PC,NL	-3.9 	-4.1 	14.9 	53.8 	4.4 	0.9 	-2.5 	8.6 	5.8 	18.4 	20.5 	22.9 p	18.6 p	3.6 p	-2.7 p	10.6 p	7.8 p	7.2 p	5.7 p	11.0 p	12.4 p	14.7 p	35.0 p	31.2 p	-0.8 p	-1.5 p	8.8 p	19.2 p	11.0 p	14.0 p	15.2 p	15.1 p	12.9 p	19.2 p	13.1 p	23.4 p	13.4 p	4.2 p	12.3 p	9.7 p
M,PC,NO	-3.4 	-2.4 	-0.5 	2.9 	-3.1 	-1.6 	-1.8 	1.7 	4.9 	1.9 	0.8 	-2.2 	-5.4 	-10.5 	-8.3 	-3.2 	-1.6 	-1.2 	1.5 	8.7 	11.5 	11.5 	20.6 	16.6 	-1.6 	6.5 	16.3 	12.2 	11.4 	14.4 	15.9 	11.7 	13.9 	13.2 	14.3 	21.9 	10.2 	-3.2 	0.4 	4.1 
M,PC,PL	-6.0 	-2.0 	-0.5 	3.5 	4.2 	5.4 	5.9 	11.3 	11.1 	45.2 	97.0 	49.9 	26.1 	11.0 	38.3 	65.4 	27.0 	13.7 	7.5 	5.8 	10.1 	14.6 	51.0 	69.1 	24.5 	15.1 	7.8 	11.4 	6.9 	7.3 	6.0 	11.6 	12.3 	9.1 	2.9 	17.8 	5.0 p	-8.4 p	-1.2 p	0.5 p
M,PC,PT	-3.7 	-3.7 	5.6 	15.8 	10.4 	3.5 	25.8 	7.1 	13.5 	14.7 	26.5 	21.1 	60.5 p	24.6 p	-4.6 p	-6.4 p	-0.8 p	-0.2 p	6.3 p	9.3 p	8.9 p	7.9 p	14.2 p	6.8 p	-4.3 p	4.2 p	7.3 p	12.6 p	19.3 p	24.4 p	29.2 p	9.4 p	11.4 p	8.8 p	13.0 p	14.7 p	-3.1 p	5.8 p	4.6 p	2.0 p
M,PC,RO	-9.0 	-2.0 	-3.4 	2.6 	-0.1 	3.8 	11.8 	16.2 	15.0 	25.5 	62.6 	45.2 	13.2 	7.0 	26.4 	39.8 	16.3 	5.2 	6.7 	3.3 	33.4 	111.2 	70.1 	10.4 	3.1 p	31.1 p	11.5 p	4.9 p	-1.5 p	-6.1 p	4.0 p	10.6 p	3.6 p	-4.4 p	-5.3 p	-11.2 p	-8.6 p	-11.0 p	-9.9 p	-12.2 p
M,PC,SE	-5.4 	-5.0 	1.5 	38.2 	23.9 	10.7 	-0.7 	-1.2 	-1.9 	-3.3 	10.7 	24.5 	18.6 	-4.8 	-7.4 	-4.2 	0.9 	-1.7 	-1.6 	-0.3 	3.7 	0.1 	2.8 	4.4 	6.5 p	3.6 p	-4.5 p	-4.3 p	1.6 p	4.6 p	3.2 p	7.1 p	6.6 p	0.8 p	2.6 p	19.7 p	9.0 p	-8.4 p	-3.6 p	0.2 p
M,PC,SI	-6.1 	0.3 	-1.2 	5.5 	1.8 	9.5 	3.5 	2.9 	8.0 	26.1 	91.3 	79.0 	26.8 	-1.7 	2.9 	10.7 	10.2 	14.6 	0.8 	-4.1 	15.6 	18.6 	50.5 	25.5 	3.8 p	14.7 p	8.9 p	13.5 p	7.9 p	10.8 p	16.3 p	13.8 p	3.9 p	7.6 p	14.2 p	22.3 p	5.8 p	-4.3 p	-2.3 p	1.6 p
M,PC,SK	-4.4 	-1.6 	2.1 	-1.2 	0.4 	0.4 	1.6 	5.1 	5.0 	20.7 	39.3 	57.9 	74.9 	68.8 	55.1 	29.0 	10.5 	9.1 	2.4 	1.1 	12.8 	27.0 	73.0 	65.0 	12.0 	10.8 	24.8 	15.8 	7.9 	11.0 	13.7 	15.2 	8.6 	13.6 	8.8 	21.2 p	1.3 p	-9.5 p	2.2 p	-1.1 p
