"doodsoorzaak";"icd10_code";"perioden";"geslacht";"leeftijd";"aantal";"aantal_per_100000";"aantal_per_100000_gestandaardiseerd";"sterfte_totaal";"percentage_van_totaal"
"Dikkedarmkanker";"C18-C21";2001;"Mannen";" 0";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2001;"Vrouwen";" 0";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2001;"Totaal";" 0";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2001;"Mannen";" 1-4";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2001;"Vrouwen";" 1-4";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2001;"Totaal";" 1-4";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2001;"Mannen";" 5-9";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2001;"Vrouwen";" 5-9";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2001;"Totaal";" 5-9";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2001;"Mannen";" 10-14";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2001;"Vrouwen";" 10-14";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2001;"Totaal";" 10-14";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2001;"Mannen";" 15-19";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2001;"Vrouwen";" 15-19";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2001;"Totaal";" 15-19";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2001;"Mannen";" 20-24";1;0,2;0,2;"";""
"Dikkedarmkanker";"C18-C21";2001;"Vrouwen";" 20-24";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2001;"Totaal";" 20-24";1;0,1;0,1;"";""
"Dikkedarmkanker";"C18-C21";2001;"Mannen";" 25-29";2;0,4;0,4;"";""
"Dikkedarmkanker";"C18-C21";2001;"Vrouwen";" 25-29";3;0,6;0,6;"";""
"Dikkedarmkanker";"C18-C21";2001;"Totaal";" 25-29";5;0,5;0,5;"";""
"Dikkedarmkanker";"C18-C21";2001;"Mannen";" 30-34";6;0,9;0,9;"";""
"Dikkedarmkanker";"C18-C21";2001;"Vrouwen";" 30-34";5;0,8;0,8;"";""
"Dikkedarmkanker";"C18-C21";2001;"Totaal";" 30-34";11;0,8;0,8;"";""
"Dikkedarmkanker";"C18-C21";2001;"Mannen";" 35-39";7;1;1;"";""
"Dikkedarmkanker";"C18-C21";2001;"Vrouwen";" 35-39";8;1,2;1,2;"";""
"Dikkedarmkanker";"C18-C21";2001;"Totaal";" 35-39";15;1,1;1,1;"";""
"Dikkedarmkanker";"C18-C21";2001;"Mannen";" 40-44";16;2,5;2,5;"";""
"Dikkedarmkanker";"C18-C21";2001;"Vrouwen";" 40-44";21;3,4;3,4;"";""
"Dikkedarmkanker";"C18-C21";2001;"Totaal";" 40-44";37;3;3;"";""
"Dikkedarmkanker";"C18-C21";2001;"Mannen";" 45-49";46;7,9;7,9;"";""
"Dikkedarmkanker";"C18-C21";2001;"Vrouwen";" 45-49";40;7;7;"";""
"Dikkedarmkanker";"C18-C21";2001;"Totaal";" 45-49";86;7,5;7,5;"";""
"Dikkedarmkanker";"C18-C21";2001;"Mannen";" 50-54";113;19,1;19,1;"";""
"Dikkedarmkanker";"C18-C21";2001;"Vrouwen";" 50-54";91;15,9;15,9;"";""
"Dikkedarmkanker";"C18-C21";2001;"Totaal";" 50-54";204;17,5;17,5;"";""
"Dikkedarmkanker";"C18-C21";2001;"Mannen";" 55-59";164;35,1;35,1;"";""
"Dikkedarmkanker";"C18-C21";2001;"Vrouwen";" 55-59";105;23,2;23,2;"";""
"Dikkedarmkanker";"C18-C21";2001;"Totaal";" 55-59";269;29,2;29,2;"";""
"Dikkedarmkanker";"C18-C21";2001;"Mannen";" 60-64";207;55,6;55,6;"";""
"Dikkedarmkanker";"C18-C21";2001;"Vrouwen";" 60-64";145;38,5;38,5;"";""
"Dikkedarmkanker";"C18-C21";2001;"Totaal";" 60-64";352;47;47;"";""
"Dikkedarmkanker";"C18-C21";2001;"Mannen";" 65-69";295;95,7;95,7;"";""
"Dikkedarmkanker";"C18-C21";2001;"Vrouwen";" 65-69";209;61,9;61,9;"";""
"Dikkedarmkanker";"C18-C21";2001;"Totaal";" 65-69";504;78;78,6;"";""
"Dikkedarmkanker";"C18-C21";2001;"Mannen";" 70-74";368;147,1;147,1;"";""
"Dikkedarmkanker";"C18-C21";2001;"Vrouwen";" 70-74";301;96,8;96,8;"";""
"Dikkedarmkanker";"C18-C21";2001;"Totaal";" 70-74";669;119,2;121,4;"";""
"Dikkedarmkanker";"C18-C21";2001;"Mannen";" 75-79";379;208,6;208,6;"";""
"Dikkedarmkanker";"C18-C21";2001;"Vrouwen";" 75-79";368;134,4;134,4;"";""
"Dikkedarmkanker";"C18-C21";2001;"Totaal";" 75-79";747;164;169,4;"";""
"Dikkedarmkanker";"C18-C21";2001;"Mannen";" 80-84";311;306,4;306,4;"";""
"Dikkedarmkanker";"C18-C21";2001;"Vrouwen";" 80-84";362;187,6;187,6;"";""
"Dikkedarmkanker";"C18-C21";2001;"Totaal";" 80-84";673;228,6;239,7;"";""
"Dikkedarmkanker";"C18-C21";2001;"Mannen";" 85+";207;347,2;347,2;"";""
"Dikkedarmkanker";"C18-C21";2001;"Vrouwen";" 85+";549;322,8;322,8;"";""
"Dikkedarmkanker";"C18-C21";2001;"Totaal";" 85+";756;329,2;331,3;"";""
"Dikkedarmkanker";"C18-C21";2001;"Mannen";" Totaal";2122;26,7;41,9;"";""
"Dikkedarmkanker";"C18-C21";2001;"Vrouwen";" Totaal";2207;27,2;35,3;"";""
"Dikkedarmkanker";"C18-C21";2001;"Totaal";" Totaal";4329;27;38,6;"140377";"3.1"
"Dikkedarmkanker";"C18-C21";2002;"Mannen";" 0";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2002;"Vrouwen";" 0";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2002;"Totaal";" 0";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2002;"Mannen";" 1-4";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2002;"Vrouwen";" 1-4";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2002;"Totaal";" 1-4";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2002;"Mannen";" 5-9";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2002;"Vrouwen";" 5-9";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2002;"Totaal";" 5-9";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2002;"Mannen";" 10-14";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2002;"Vrouwen";" 10-14";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2002;"Totaal";" 10-14";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2002;"Mannen";" 15-19";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2002;"Vrouwen";" 15-19";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2002;"Totaal";" 15-19";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2002;"Mannen";" 20-24";1;0,2;0,2;"";""
"Dikkedarmkanker";"C18-C21";2002;"Vrouwen";" 20-24";2;0,4;0,4;"";""
"Dikkedarmkanker";"C18-C21";2002;"Totaal";" 20-24";3;0,3;0,3;"";""
"Dikkedarmkanker";"C18-C21";2002;"Mannen";" 25-29";1;0,2;0,2;"";""
"Dikkedarmkanker";"C18-C21";2002;"Vrouwen";" 25-29";3;0,6;0,6;"";""
"Dikkedarmkanker";"C18-C21";2002;"Totaal";" 25-29";4;0,4;0,4;"";""
"Dikkedarmkanker";"C18-C21";2002;"Mannen";" 30-34";3;0,5;0,5;"";""
"Dikkedarmkanker";"C18-C21";2002;"Vrouwen";" 30-34";3;0,5;0,5;"";""
"Dikkedarmkanker";"C18-C21";2002;"Totaal";" 30-34";6;0,5;0,5;"";""
"Dikkedarmkanker";"C18-C21";2002;"Mannen";" 35-39";10;1,5;1,5;"";""
"Dikkedarmkanker";"C18-C21";2002;"Vrouwen";" 35-39";16;2,5;2,5;"";""
"Dikkedarmkanker";"C18-C21";2002;"Totaal";" 35-39";26;2;2;"";""
"Dikkedarmkanker";"C18-C21";2002;"Mannen";" 40-44";19;3;3;"";""
"Dikkedarmkanker";"C18-C21";2002;"Vrouwen";" 40-44";21;3,4;3,4;"";""
"Dikkedarmkanker";"C18-C21";2002;"Totaal";" 40-44";40;3,2;3,2;"";""
"Dikkedarmkanker";"C18-C21";2002;"Mannen";" 45-49";59;10;10;"";""
"Dikkedarmkanker";"C18-C21";2002;"Vrouwen";" 45-49";35;6,1;6,1;"";""
"Dikkedarmkanker";"C18-C21";2002;"Totaal";" 45-49";94;8,1;8;"";""
"Dikkedarmkanker";"C18-C21";2002;"Mannen";" 50-54";108;18,8;18,8;"";""
"Dikkedarmkanker";"C18-C21";2002;"Vrouwen";" 50-54";95;17;17;"";""
"Dikkedarmkanker";"C18-C21";2002;"Totaal";" 50-54";203;17,9;17,9;"";""
"Dikkedarmkanker";"C18-C21";2002;"Mannen";" 55-59";155;30,5;30,5;"";""
"Dikkedarmkanker";"C18-C21";2002;"Vrouwen";" 55-59";137;27,7;27,7;"";""
"Dikkedarmkanker";"C18-C21";2002;"Totaal";" 55-59";292;29,1;29,1;"";""
"Dikkedarmkanker";"C18-C21";2002;"Mannen";" 60-64";236;61,9;61,9;"";""
"Dikkedarmkanker";"C18-C21";2002;"Vrouwen";" 60-64";145;37,9;37,9;"";""
"Dikkedarmkanker";"C18-C21";2002;"Totaal";" 60-64";381;49,9;49,9;"";""
"Dikkedarmkanker";"C18-C21";2002;"Mannen";" 65-69";303;97,4;97,4;"";""
"Dikkedarmkanker";"C18-C21";2002;"Vrouwen";" 65-69";204;60,4;60,4;"";""
"Dikkedarmkanker";"C18-C21";2002;"Totaal";" 65-69";507;78,1;78,7;"";""
"Dikkedarmkanker";"C18-C21";2002;"Mannen";" 70-74";349;137;137;"";""
"Dikkedarmkanker";"C18-C21";2002;"Vrouwen";" 70-74";291;92,9;92,9;"";""
"Dikkedarmkanker";"C18-C21";2002;"Totaal";" 70-74";640;112,7;114,5;"";""
"Dikkedarmkanker";"C18-C21";2002;"Mannen";" 75-79";385;210,2;210,2;"";""
"Dikkedarmkanker";"C18-C21";2002;"Vrouwen";" 75-79";336;123,5;123,5;"";""
"Dikkedarmkanker";"C18-C21";2002;"Totaal";" 75-79";721;158,4;164,5;"";""
"Dikkedarmkanker";"C18-C21";2002;"Mannen";" 80-84";324;304,3;304,3;"";""
"Dikkedarmkanker";"C18-C21";2002;"Vrouwen";" 80-84";400;200,6;200,6;"";""
"Dikkedarmkanker";"C18-C21";2002;"Totaal";" 80-84";724;236,7;246,1;"";""
"Dikkedarmkanker";"C18-C21";2002;"Mannen";" 85+";270;446,3;446,3;"";""
"Dikkedarmkanker";"C18-C21";2002;"Vrouwen";" 85+";504;294;294;"";""
"Dikkedarmkanker";"C18-C21";2002;"Totaal";" 85+";774;333,7;347,1;"";""
"Dikkedarmkanker";"C18-C21";2002;"Mannen";" Totaal";2223;27,8;43,2;"";""
"Dikkedarmkanker";"C18-C21";2002;"Vrouwen";" Totaal";2192;26,9;34,5;"";""
"Dikkedarmkanker";"C18-C21";2002;"Totaal";" Totaal";4415;27,3;38,8;"142355";"3.1"
"Dikkedarmkanker";"C18-C21";2003;"Mannen";" 0";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2003;"Vrouwen";" 0";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2003;"Totaal";" 0";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2003;"Mannen";" 1-4";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2003;"Vrouwen";" 1-4";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2003;"Totaal";" 1-4";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2003;"Mannen";" 5-9";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2003;"Vrouwen";" 5-9";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2003;"Totaal";" 5-9";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2003;"Mannen";" 10-14";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2003;"Vrouwen";" 10-14";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2003;"Totaal";" 10-14";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2003;"Mannen";" 15-19";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2003;"Vrouwen";" 15-19";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2003;"Totaal";" 15-19";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2003;"Mannen";" 20-24";1;0,2;0,2;"";""
"Dikkedarmkanker";"C18-C21";2003;"Vrouwen";" 20-24";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2003;"Totaal";" 20-24";1;0,1;0,1;"";""
"Dikkedarmkanker";"C18-C21";2003;"Mannen";" 25-29";2;0,4;0,4;"";""
"Dikkedarmkanker";"C18-C21";2003;"Vrouwen";" 25-29";3;0,6;0,6;"";""
"Dikkedarmkanker";"C18-C21";2003;"Totaal";" 25-29";5;0,5;0,5;"";""
"Dikkedarmkanker";"C18-C21";2003;"Mannen";" 30-34";7;1,1;1,1;"";""
"Dikkedarmkanker";"C18-C21";2003;"Vrouwen";" 30-34";7;1,1;1,1;"";""
"Dikkedarmkanker";"C18-C21";2003;"Totaal";" 30-34";14;1,1;1,1;"";""
"Dikkedarmkanker";"C18-C21";2003;"Mannen";" 35-39";15;2,2;2,2;"";""
"Dikkedarmkanker";"C18-C21";2003;"Vrouwen";" 35-39";13;2;2;"";""
"Dikkedarmkanker";"C18-C21";2003;"Totaal";" 35-39";28;2,1;2,1;"";""
"Dikkedarmkanker";"C18-C21";2003;"Mannen";" 40-44";24;3,7;3,7;"";""
"Dikkedarmkanker";"C18-C21";2003;"Vrouwen";" 40-44";16;2,5;2,5;"";""
"Dikkedarmkanker";"C18-C21";2003;"Totaal";" 40-44";40;3,1;3,1;"";""
"Dikkedarmkanker";"C18-C21";2003;"Mannen";" 45-49";46;7,8;7,8;"";""
"Dikkedarmkanker";"C18-C21";2003;"Vrouwen";" 45-49";38;6,5;6,5;"";""
"Dikkedarmkanker";"C18-C21";2003;"Totaal";" 45-49";84;7,1;7,1;"";""
"Dikkedarmkanker";"C18-C21";2003;"Mannen";" 50-54";115;20,3;20,3;"";""
"Dikkedarmkanker";"C18-C21";2003;"Vrouwen";" 50-54";88;15,9;15,9;"";""
"Dikkedarmkanker";"C18-C21";2003;"Totaal";" 50-54";203;18,1;18,1;"";""
"Dikkedarmkanker";"C18-C21";2003;"Mannen";" 55-59";172;32;32;"";""
"Dikkedarmkanker";"C18-C21";2003;"Vrouwen";" 55-59";128;24,4;24,4;"";""
"Dikkedarmkanker";"C18-C21";2003;"Totaal";" 55-59";300;28,3;28,2;"";""
"Dikkedarmkanker";"C18-C21";2003;"Mannen";" 60-64";215;54,8;54,8;"";""
"Dikkedarmkanker";"C18-C21";2003;"Vrouwen";" 60-64";184;46,9;46,9;"";""
"Dikkedarmkanker";"C18-C21";2003;"Totaal";" 60-64";399;50,9;50,9;"";""
"Dikkedarmkanker";"C18-C21";2003;"Mannen";" 65-69";305;96,4;96,4;"";""
"Dikkedarmkanker";"C18-C21";2003;"Vrouwen";" 65-69";206;60,6;60,6;"";""
"Dikkedarmkanker";"C18-C21";2003;"Totaal";" 65-69";511;77,8;78,3;"";""
"Dikkedarmkanker";"C18-C21";2003;"Mannen";" 70-74";397;153,5;153,5;"";""
"Dikkedarmkanker";"C18-C21";2003;"Vrouwen";" 70-74";250;79,6;79,6;"";""
"Dikkedarmkanker";"C18-C21";2003;"Totaal";" 70-74";647;113;115,7;"";""
"Dikkedarmkanker";"C18-C21";2003;"Mannen";" 75-79";386;208,8;208,8;"";""
"Dikkedarmkanker";"C18-C21";2003;"Vrouwen";" 75-79";360;133,1;133,1;"";""
"Dikkedarmkanker";"C18-C21";2003;"Totaal";" 75-79";746;163,8;168,8;"";""
"Dikkedarmkanker";"C18-C21";2003;"Mannen";" 80-84";330;295,2;295,2;"";""
"Dikkedarmkanker";"C18-C21";2003;"Vrouwen";" 80-84";381;184,6;184,6;"";""
"Dikkedarmkanker";"C18-C21";2003;"Totaal";" 80-84";711;223,5;233,1;"";""
"Dikkedarmkanker";"C18-C21";2003;"Mannen";" 85+";241;394,8;394,8;"";""
"Dikkedarmkanker";"C18-C21";2003;"Vrouwen";" 85+";521;303;303;"";""
"Dikkedarmkanker";"C18-C21";2003;"Totaal";" 85+";762;327;335;"";""
"Dikkedarmkanker";"C18-C21";2003;"Mannen";" Totaal";2256;28,1;42,7;"";""
"Dikkedarmkanker";"C18-C21";2003;"Vrouwen";" Totaal";2195;26,8;34,2;"";""
"Dikkedarmkanker";"C18-C21";2003;"Totaal";" Totaal";4451;27,4;38,5;"141936";"3.1"
"Dikkedarmkanker";"C18-C21";2004;"Mannen";" 0";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2004;"Vrouwen";" 0";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2004;"Totaal";" 0";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2004;"Mannen";" 1-4";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2004;"Vrouwen";" 1-4";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2004;"Totaal";" 1-4";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2004;"Mannen";" 5-9";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2004;"Vrouwen";" 5-9";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2004;"Totaal";" 5-9";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2004;"Mannen";" 10-14";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2004;"Vrouwen";" 10-14";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2004;"Totaal";" 10-14";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2004;"Mannen";" 15-19";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2004;"Vrouwen";" 15-19";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2004;"Totaal";" 15-19";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2004;"Mannen";" 20-24";2;0,4;0,4;"";""
"Dikkedarmkanker";"C18-C21";2004;"Vrouwen";" 20-24";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2004;"Totaal";" 20-24";2;0,2;0,2;"";""
"Dikkedarmkanker";"C18-C21";2004;"Mannen";" 25-29";3;0,6;0,6;"";""
"Dikkedarmkanker";"C18-C21";2004;"Vrouwen";" 25-29";3;0,6;0,6;"";""
"Dikkedarmkanker";"C18-C21";2004;"Totaal";" 25-29";6;0,6;0,6;"";""
"Dikkedarmkanker";"C18-C21";2004;"Mannen";" 30-34";4;0,6;0,6;"";""
"Dikkedarmkanker";"C18-C21";2004;"Vrouwen";" 30-34";5;0,8;0,8;"";""
"Dikkedarmkanker";"C18-C21";2004;"Totaal";" 30-34";9;0,7;0,7;"";""
"Dikkedarmkanker";"C18-C21";2004;"Mannen";" 35-39";11;1,6;1,6;"";""
"Dikkedarmkanker";"C18-C21";2004;"Vrouwen";" 35-39";13;2;2;"";""
"Dikkedarmkanker";"C18-C21";2004;"Totaal";" 35-39";24;1,8;1,8;"";""
"Dikkedarmkanker";"C18-C21";2004;"Mannen";" 40-44";24;3,6;3,6;"";""
"Dikkedarmkanker";"C18-C21";2004;"Vrouwen";" 40-44";28;4,4;4,4;"";""
"Dikkedarmkanker";"C18-C21";2004;"Totaal";" 40-44";52;4;4;"";""
"Dikkedarmkanker";"C18-C21";2004;"Mannen";" 45-49";51;8,5;8,5;"";""
"Dikkedarmkanker";"C18-C21";2004;"Vrouwen";" 45-49";42;7,1;7,1;"";""
"Dikkedarmkanker";"C18-C21";2004;"Totaal";" 45-49";93;7,8;7,8;"";""
"Dikkedarmkanker";"C18-C21";2004;"Mannen";" 50-54";93;16,5;16,5;"";""
"Dikkedarmkanker";"C18-C21";2004;"Vrouwen";" 50-54";79;14,3;14,3;"";""
"Dikkedarmkanker";"C18-C21";2004;"Totaal";" 50-54";172;15,4;15,4;"";""
"Dikkedarmkanker";"C18-C21";2004;"Mannen";" 55-59";193;34,7;34,7;"";""
"Dikkedarmkanker";"C18-C21";2004;"Vrouwen";" 55-59";143;26,3;26,3;"";""
"Dikkedarmkanker";"C18-C21";2004;"Totaal";" 55-59";336;30,6;30,5;"";""
"Dikkedarmkanker";"C18-C21";2004;"Mannen";" 60-64";250;61,6;61,6;"";""
"Dikkedarmkanker";"C18-C21";2004;"Vrouwen";" 60-64";146;36,1;36,1;"";""
"Dikkedarmkanker";"C18-C21";2004;"Totaal";" 60-64";396;48,9;48,8;"";""
"Dikkedarmkanker";"C18-C21";2004;"Mannen";" 65-69";305;94;94;"";""
"Dikkedarmkanker";"C18-C21";2004;"Vrouwen";" 65-69";198;57,3;57,3;"";""
"Dikkedarmkanker";"C18-C21";2004;"Totaal";" 65-69";503;75;75,4;"";""
"Dikkedarmkanker";"C18-C21";2004;"Mannen";" 70-74";365;139,4;139,4;"";""
"Dikkedarmkanker";"C18-C21";2004;"Vrouwen";" 70-74";252;80,3;80,3;"";""
"Dikkedarmkanker";"C18-C21";2004;"Totaal";" 70-74";617;107,2;109,1;"";""
"Dikkedarmkanker";"C18-C21";2004;"Mannen";" 75-79";386;205,4;205,4;"";""
"Dikkedarmkanker";"C18-C21";2004;"Vrouwen";" 75-79";352;130,4;130,4;"";""
"Dikkedarmkanker";"C18-C21";2004;"Totaal";" 75-79";738;161,2;165,8;"";""
"Dikkedarmkanker";"C18-C21";2004;"Mannen";" 80-84";341;291,7;291,7;"";""
"Dikkedarmkanker";"C18-C21";2004;"Vrouwen";" 80-84";397;186;186;"";""
"Dikkedarmkanker";"C18-C21";2004;"Totaal";" 80-84";738;223,4;232,3;"";""
"Dikkedarmkanker";"C18-C21";2004;"Mannen";" 85+";232;373,5;373,5;"";""
"Dikkedarmkanker";"C18-C21";2004;"Vrouwen";" 85+";511;294,6;294,6;"";""
"Dikkedarmkanker";"C18-C21";2004;"Totaal";" 85+";743;315,4;322,2;"";""
"Dikkedarmkanker";"C18-C21";2004;"Mannen";" Totaal";2260;28,1;41,7;"";""
"Dikkedarmkanker";"C18-C21";2004;"Vrouwen";" Totaal";2169;26,4;33,2;"";""
"Dikkedarmkanker";"C18-C21";2004;"Totaal";" Totaal";4429;27,2;37,4;"136553";"3.2"
"Dikkedarmkanker";"C18-C21";2005;"Mannen";" 0";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2005;"Vrouwen";" 0";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2005;"Totaal";" 0";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2005;"Mannen";" 1-4";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2005;"Vrouwen";" 1-4";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2005;"Totaal";" 1-4";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2005;"Mannen";" 5-9";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2005;"Vrouwen";" 5-9";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2005;"Totaal";" 5-9";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2005;"Mannen";" 10-14";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2005;"Vrouwen";" 10-14";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2005;"Totaal";" 10-14";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2005;"Mannen";" 15-19";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2005;"Vrouwen";" 15-19";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2005;"Totaal";" 15-19";0;0;0;"";""
"Dikkedarmkanker";"C18-C21";2005;"Mannen";" 20-24";1;0,2;0,2;"";""
"Dikkedarmkanker";"C18-C21";2005;"Vrouwen";" 20-24";1;0,2;0,2;"";""
"Dikkedarmkanker";"C18-C21";2005;"Totaal";" 20-24";2;0,2;0,2;"";""
"Dikkedarmkanker";"C18-C21";2005;"Mannen";" 25-29";4;0,8;0,8;"";""
"Dikkedarmkanker";"C18-C21";2005;"Vrouwen";" 25-29";2;0,4;0,4;"";""
"Dikkedarmkanker";"C18-C21";2005;"Totaal";" 25-29";6;0,6;0,6;"";""
"Dikkedarmkanker";"C18-C21";2005;"Mannen";" 30-34";3;0,5;0,5;"";""
"Dikkedarmkanker";"C18-C21";2005;"Vrouwen";" 30-34";5;0,9;0,9;"";""
"Dikkedarmkanker";"C18-C21";2005;"Totaal";" 30-34";8;0,7;0,7;"";""
"Dikkedarmkanker";"C18-C21";2005;"Mannen";" 35-39";8;1,2;1,2;"";""
"Dikkedarmkanker";"C18-C21";2005;"Vrouwen";" 35-39";12;1,9;1,9;"";""
"Dikkedarmkanker";"C18-C21";2005;"Totaal";" 35-39";20;1,5;1,5;"";""
"Dikkedarmkanker";"C18-C21";2005;"Mannen";" 40-44";20;3;3;"";""
"Dikkedarmkanker";"C18-C21";2005;"Vrouwen";" 40-44";29;4,5;4,5;"";""
"Dikkedarmkanker";"C18-C21";2005;"Totaal";" 40-44";49;3,7;3,7;"";""
"Dikkedarmkanker";"C18-C21";2005;"Mannen";" 45-49";55;9;9;"";""
"Dikkedarmkanker";"C18-C21";2005;"Vrouwen";" 45-49";33;5,5;5,5;"";""
"Dikkedarmkanker";"C18-C21";2005;"Totaal";" 45-49";88;7,3;7,2;"";""
"Dikkedarmkanker";"C18-C21";2005;"Mannen";" 50-54";88;15,6;15,6;"";""
"Dikkedarmkanker";"C18-C21";2005;"Vrouwen";" 50-54";91;16,4;16,4;"";""
"Dikkedarmkanker";"C18-C21";2005;"Totaal";" 50-54";179;16;16;"";""
"Dikkedarmkanker";"C18-C21";2005;"Mannen";" 55-59";164;28,7;28,7;"";""
"Dikkedarmkanker";"C18-C21";2005;"Vrouwen";" 55-59";159;28,4;28,4;"";""
"Dikkedarmkanker";"C18-C21";2005;"Totaal";" 55-59";323;28,6;28,6;"";""
"Dikkedarmkanker";"C18-C21";2005;"Mannen";" 60-64";235;56,3;56,3;"";""
"Dikkedarmkanker";"C18-C21";2005;"Vrouwen";" 60-64";152;36,7;36,7;"";""
"Dikkedarmkanker";"C18-C21";2005;"Totaal";" 60-64";387;46,6;46,5;"";""
"Dikkedarmkanker";"C18-C21";2005;"Mannen";" 65-69";278;83,3;83,3;"";""
"Dikkedarmkanker";"C18-C21";2005;"Vrouwen";" 65-69";207;58,6;58,6;"";""
"Dikkedarmkanker";"C18-C21";2005;"Totaal";" 65-69";485;70,6;70,8;"";""
"Dikkedarmkanker";"C18-C21";2005;"Mannen";" 70-74";379;143;143;"";""
"Dikkedarmkanker";"C18-C21";2005;"Vrouwen";" 70-74";277;88,3;88,3;"";""
"Dikkedarmkanker";"C18-C21";2005;"Totaal";" 70-74";656;113,4;115;"";""
"Dikkedarmkanker";"C18-C21";2005;"Mannen";" 75-79";389;201,8;201,8;"";""
"Dikkedarmkanker";"C18-C21";2005;"Vrouwen";" 75-79";374;137,9;137,9;"";""
"Dikkedarmkanker";"C18-C21";2005;"Totaal";" 75-79";763;164,5;168,1;"";""
"Dikkedarmkanker";"C18-C21";2005;"Mannen";" 80-84";362;302,4;302,4;"";""
"Dikkedarmkanker";"C18-C21";2005;"Vrouwen";" 80-84";404;186,8;186,8;"";""
"Dikkedarmkanker";"C18-C21";2005;"Totaal";" 80-84";766;228;237,5;"";""
