"Category";"Vrouwen"
"1990";8194
"1991";8561
"1992";9246
"1993";9556
"1994";9934
"1995";9509
"1996";9828
"1997";9910
"1998";10221
"1999";11110
"2000";11172
"2001";11620
"2002";11565
"2003";11734
"2004";12033
"2005";11978
"2006";12390
"2007";12827
"2008";13021
"2009";13174
"2010";13278
"2011";14026
"2012";14251
"2013";14325
"2014";14521
"2015";14464
"2016";14585
"2017";14887
"2018";14649
"2019";14857
"2020";12942
"2021*";15653
"2022*";15596
