unit,sex,icd10,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 
PC,F,C50,LT	45.50 p	45.70 	52.90 	50.00 	48.30 	46.20 	44.80 	40.80 	38.40 	37.50 	32.60 	28.60 	25.60 	23.20 	22.20 	12.40 	: 	: 	: 	: 	: 	: 
PC,F,C50,LU	: 	50.80 p	53.70 	55.10 	57.10 	58.60 	58.60 	61.00 	56.60 	64.70 	55.90 	62.00 	63.60 	64.60 	64.10 	63.60 	63.90 	62.20 	59.80 	62.20 	56.80 b	61.30 
PC,F,C50,LV	30.80 	29.90 	39.10 	42.10 	44.00 	27.40 	34.90 	35.90 	34.20 	32.70 	33.80 	19.40 	21.10 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,F,C50,ME	: 	6.58 	20.65 	27.40 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,F,C50,MK	: 	0.30 	0.60 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,F,C50,MT	77.80 	71.20 	68.50 	75.00 d	50.50 d	51.50 d	60.60 d	55.90 d	53.90 d	53.50 d	50.90 d	47.40 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,F,C50,NL	: 	70.40 d	76.10 	77.00 	77.20 	77.80 	78.20 e	79.40 	80.10 	80.30 	80.80 	81.50 	82.20 	82.60 	83.10 	82.60 	82.60 	81.90 	82.00 	80.50 	80.40 	80.50 
PC,F,C50,NO	65.50 	62.80 	71.60 	71.70 	72.00 	72.20 	71.90 	70.70 	70.10 	70.20 	70.90 	71.30 	71.90 	71.40 	72.10 	73.30 	72.80 	74.60 	75.60 	75.60 	77.60 	79.20 
PC,F,C50,RO	: 	: 	: 	: 	: 	: 	0.20 	0.04 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,F,C50,RS	5.20 	7.70 	9.80 	9.00 	10.30 	11.50 	10.00 	7.60 	3.30 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
