unit,source,icd10,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 
PC,PRG,C50,UK	: 	: 	: 	75.21 e	75.06 	75.38 	75.08 	75.32 	75.86 	76.73 	77.20 	76.95 	76.79 	76.59 	75.97 	75.82 	75.30 	74.71 	75.04 	75.90 	: 	: 
PC,PRG,C53,BE	: 	45.70 	49.50 	50.80 	53.20 	53.10 	50.60 	52.90 	59.20 	59.40 	60.70 	62.90 	60.00 	58.70 	60.00 	61.20 	61.10 	60.70 	59.70 	59.30 	59.50 	58.60 
PC,PRG,C53,BG	: 	: 	: 	: 	13.35 d	34.40 bd	8.60 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,PRG,C53,CZ	: 	75.00 	75.40 	75.30 	75.30 	75.40 	75.30 	74.70 	73.80 	72.60 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,PRG,C53,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	55.90 	: 	: 
PC,PRG,C53,DK	: 	: 	61.00 d	62.30 d	62.00 d	63.50 d	64.80 d	66.00 d	66.20 d	64.20 d	65.60 d	64.90 d	66.30 d	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,PRG,C53,EE	: 	42.20 d	46.10 d	45.30 d	50.70 d	45.90 d	45.90 d	50.00 d	49.20 d	50.00 d	53.00 d	44.00 d	52.00 d	48.00 d	32.00 d	: 	: 	: 	: 	: 	: 	: 
PC,PRG,C53,FI	: 	: 	71.30 d	70.90 d	70.60 d	70.50 d	69.50 d	70.10 d	70.90 d	67.40 d	67.90 d	66.70 d	69.80 d	69.00 d	69.80 d	70.70 d	71.40 d	71.60 d	72.20 d	72.00 d	70.30 d	: 
PC,PRG,C53,FR	: 	58.80 d	58.20 d	59.40 d	59.40 d	59.10 d	59.20 d	58.80 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC,PRG,C53,HU	: 	27.54 	30.23 	32.18 	34.20 	35.06 	35.30 	35.63 	36.60 	37.53 	38.33 	38.68 	39.24 	42.45 	45.34 	47.16 	: 	: 	: 	: 	: 	: 
