"Category";"Mannen";"Vrouwen"
"0-4";0;0
"5-9";0;0
"10-14";0;0
"15-19";0;1
"20-24";1;3
"25-29";7;10
"30-34";14;19
"35-39";43;42
"40-44";84;73
"45-49";146;160
"50-54";366;310
"55-59";622;457
"60-64";730;546
"65-69";1056;814
"70-74";1015;825
"75-79";1052;868
"80-84";791;736
"85+";546;677
