"Category";"Vrouwen"
"0-4";0
"5-9";0
"10-14";0
"15-19";0
"20-24";1
"25-29";24
"30-34";158
"35-39";130
"40-44";118
"45-49";100
"50-54";104
"55-59";85
"60-64";56
"65-69";46
"70-74";39
"75-79";37
"80-84";23
"85+";19
