"Category";"Vrouwen"
"1990";775
"1991";738
"1992";760
"1993";730
"1994";722
"1995";737
"1996";727
"1997";733
"1998";754
"1999";714
"2000";688
"2001";611
"2002";652
"2003";616
"2004";703
"2005";686
"2006";691
"2007";743
"2008";707
"2009";721
"2010";730
"2011";732
"2012";731
"2013";661
"2014";736
"2015";708
"2016";806
"2017";772
"2018";844
"2019";906
"2020";804
"2021*";948
"2022*";940
